drug_name,quantity,reorder_level,strength,dosage_form,unit_of_measure,reorder_quantity,location,batch_number,expiry_date,notes
Acetylcysteine,3873,213.0,200mg,Sachet,units,1099.0,Shelf C63,BATCHX1063,2028-10-29,Auto-generated sample data
Povidone-Iodine,84,323.0,10%,Solution,units,1082.0,Shelf C64,BATCHX1064,2028-04-30,Auto-generated sample data
Hydrochlorothiazide,99,362.0,25mg,Tablet,units,593.0,Shelf C65,BATCHX1065,2028-05-28,Auto-generated sample data
Linezolid,3779,85.0,600mg,Tablet,units,1362.0,Shelf C66,BATCHX1066,2028-11-14,Auto-generated sample data
Tranexamic Acid,5682,90.0,500mg,Injection,units,1217.0,Shelf C67,BATCHX1067,2028-03-07,Auto-generated sample data
Tenofovir,7141,118.0,300mg,Tablet,units,1332.0,Shelf D68,BATCHY2068,2028-09-12,Auto-generated sample data
Teicoplanin,5376,115.0,400mg,Injection,units,1603.0,Shelf D69,BATCHY2069,2027-08-06,Auto-generated sample data
Colistin,1261,194.0,1MIU,Injection,units,1961.0,Shelf D70,BATCHY2070,2028-07-04,Auto-generated sample data
Potassium Chloride,7024,71.0,15%,Injection,units,1639.0,Shelf D71,BATCHY2071,2030-02-20,Auto-generated sample data
Efavirenz,3278,379.0,600mg,Tablet,units,916.0,Shelf D72,BATCHY2072,2026-12-08,Auto-generated sample data
Phenytoin,2649,289.0,100mg,Capsule,units,1701.0,Shelf D73,BATCHY2073,2027-06-22,Auto-generated sample data
Levetiracetam,7268,376.0,500mg,Tablet,units,1984.0,Shelf D74,BATCHY2074,2027-05-01,Auto-generated sample data
Potassium Chloride,7229,227.0,15%,Injection,units,1475.0,Shelf D75,BATCHY2075,2029-11-30,Auto-generated sample data
Glibenclamide,6522,434.0,5mg,Tablet,units,911.0,Shelf D76,BATCHY2076,2029-07-23,Auto-generated sample data
Spironolactone,5330,265.0,25mg,Tablet,units,193.0,Shelf D77,BATCHY2077,2026-11-25,Auto-generated sample data
Allopurinol,3212,189.0,300mg,Tablet,units,1400.0,Shelf D78,BATCHY2078,2029-05-20,Auto-generated sample data
Risperidone,6594,246.0,2mg,Tablet,units,1148.0,Shelf D79,BATCHY2079,2029-01-23,Auto-generated sample data
Olanzapine,151,180.0,10mg,Tablet,units,1634.0,Shelf D80,BATCHY2080,2028-04-20,Auto-generated sample data
Nitrofurantoin,7111,391.0,100mg,Capsule,units,394.0,Shelf D81,BATCHY2081,2027-06-22,Auto-generated sample data
Sertraline,2863,155.0,50mg,Tablet,units,1010.0,Shelf D82,BATCHY2082,2027-08-25,Auto-generated sample data
Ribavirin,3013,466.0,200mg,Capsule,units,1188.0,Shelf D83,BATCHY2083,2030-02-19,Auto-generated sample data
Spironolactone,5547,338.0,25mg,Tablet,units,1883.0,Shelf D84,BATCHY2084,2027-01-31,Auto-generated sample data
Sitagliptin,6981,264.0,100mg,Tablet,units,1902.0,Shelf D85,BATCHY2085,2028-10-08,Auto-generated sample data
Lamivudine,5662,243.0,150mg,Tablet,units,1841.0,Shelf D86,BATCHY2086,2029-01-05,Auto-generated sample data
Citalopram,5561,356.0,20mg,Tablet,units,1948.0,Shelf D87,BATCHY2087,2027-07-17,Auto-generated sample data
Dextrose,5848,174.0,5%,IV Fluid,units,1773.0,Shelf D88,BATCHY2088,2026-09-18,Auto-generated sample data
Escitalopram,1500,161.0,10mg,Tablet,units,1872.0,Shelf D89,BATCHY2089,2027-08-05,Auto-generated sample data
Levetiracetam,7119,405.0,500mg,Tablet,units,1444.0,Shelf D90,BATCHY2090,2029-02-13,Auto-generated sample data
Spironolactone,2482,305.0,25mg,Tablet,units,840.0,Shelf D91,BATCHY2091,2027-03-29,Auto-generated sample data
Haloperidol,1404,418.0,5mg,Tablet,units,1750.0,Shelf D92,BATCHY2092,2029-01-20,Auto-generated sample data
Erythromycin,1189,314.0,250mg,Tablet,units,1722.0,Shelf D93,BATCHY2093,2028-06-25,Auto-generated sample data
Potassium Chloride,2091,135.0,15%,Injection,units,523.0,Shelf D94,BATCHY2094,2026-10-23,Auto-generated sample data
Efavirenz,709,187.0,600mg,Tablet,units,222.0,Shelf D95,BATCHY2095,2028-04-01,Auto-generated sample data
Methotrexate,4078,235.0,2.5mg,Tablet,units,1614.0,Shelf D96,BATCHY2096,2029-09-24,Auto-generated sample data
Clopidogrel,1095,481.0,75mg,Tablet,units,1451.0,Shelf D97,BATCHY2097,2028-09-12,Auto-generated sample data
Febuxostat,4935,386.0,40mg,Tablet,units,1399.0,Shelf D98,BATCHY2098,2027-02-08,Auto-generated sample data
Sulfasalazine,1770,366.0,500mg,Tablet,units,1691.0,Shelf D99,BATCHY2099,2027-03-12,Auto-generated sample data
Ringer’s Lactate,519,211.0,Standard,IV Fluid,units,939.0,Shelf D100,BATCHY2100,2028-02-20,Auto-generated sample data
Levothyroxine,1406,425.0,100mcg,Tablet,units,1827.0,Shelf D101,BATCHY2101,2026-06-13,Auto-generated sample data
Sitagliptin,579,208.0,100mg,Tablet,units,1214.0,Shelf D102,BATCHY2102,2026-05-17,Auto-generated sample data
Erythromycin,5726,60.0,250mg,Tablet,units,895.0,Shelf D103,BATCHY2103,2028-07-27,Auto-generated sample data
Clopidogrel,3214,368.0,75mg,Tablet,units,717.0,Shelf D104,BATCHY2104,2027-03-11,Auto-generated sample data
Parenteral Nutrition,1231,333.0,Standard,IV Fluid,units,1526.0,Shelf D105,BATCHY2105,2029-02-16,Auto-generated sample data
Levothyroxine,4095,141.0,100mcg,Tablet,units,1551.0,Shelf D106,BATCHY2106,2027-07-21,Auto-generated sample data
Colistin,67,261.0,1MIU,Injection,units,1709.0,Shelf D107,BATCHY2107,2026-08-24,Auto-generated sample data
Haloperidol,2971,249.0,5mg,Tablet,units,682.0,Shelf D108,BATCHY2108,2029-03-11,Auto-generated sample data
Oseltamivir,1999,153.0,75mg,Capsule,units,885.0,Shelf D109,BATCHY2109,2027-12-01,Auto-generated sample data
Spironolactone,2339,358.0,25mg,Tablet,units,1143.0,Shelf D110,BATCHY2110,2028-08-17,Auto-generated sample data
Normal Saline,4050,110.0,0.9%,IV Fluid,units,1082.0,Shelf D111,BATCHY2111,2026-11-25,Auto-generated sample data
Allopurinol,7055,170.0,300mg,Tablet,units,772.0,Shelf D112,BATCHY2112,2029-06-03,Auto-generated sample data
Propranolol,5921,241.0,40mg,Tablet,units,1536.0,Shelf D113,BATCHY2113,2027-02-28,Auto-generated sample data
Clarithromycin,2976,77.0,500mg,Tablet,units,1722.0,Shelf D114,BATCHY2114,2026-09-23,Auto-generated sample data
Insulin Regular,2495,131.0,100IU/ml,Injection,units,1162.0,Shelf D115,BATCHY2115,2028-02-12,Auto-generated sample data
Dolutegravir,1485,483.0,50mg,Tablet,units,1504.0,Shelf D116,BATCHY2116,2027-05-18,Auto-generated sample data
Teicoplanin,4518,175.0,400mg,Injection,units,556.0,Shelf D117,BATCHY2117,2026-08-22,Auto-generated sample data
Digoxin,356,109.0,0.25mg,Tablet,units,1275.0,Shelf D118,BATCHY2118,2026-08-23,Auto-generated sample data
Normal Saline,272,406.0,0.9%,IV Fluid,units,1631.0,Shelf D119,BATCHY2119,2027-01-16,Auto-generated sample data
Ringer’s Lactate,2550,380.0,Standard,IV Fluid,units,1752.0,Shelf D120,BATCHY2120,2029-07-06,Auto-generated sample data
Escitalopram,7759,360.0,10mg,Tablet,units,1734.0,Shelf D121,BATCHY2121,2029-03-23,Auto-generated sample data
Ringer’s Lactate,6160,162.0,Standard,IV Fluid,units,1315.0,Shelf D122,BATCHY2122,2026-08-09,Auto-generated sample data
Aspirin,1031,99.0,75mg,Tablet,units,585.0,Shelf D123,BATCHY2123,2028-04-24,Auto-generated sample data
Olanzapine,2273,441.0,10mg,Tablet,units,1148.0,Shelf D124,BATCHY2124,2026-10-26,Auto-generated sample data
Allopurinol,3121,64.0,300mg,Tablet,units,1168.0,Shelf D125,BATCHY2125,2026-10-23,Auto-generated sample data
Colchicine,4760,403.0,0.6mg,Tablet,units,662.0,Shelf D126,BATCHY2126,2028-05-07,Auto-generated sample data
Amitriptyline,602,234.0,25mg,Tablet,units,183.0,Shelf D127,BATCHY2127,2029-03-30,Auto-generated sample data
Spironolactone,7281,407.0,25mg,Tablet,units,528.0,Shelf D128,BATCHY2128,2027-06-08,Auto-generated sample data
Glimepiride,6517,72.0,2mg,Tablet,units,499.0,Shelf D129,BATCHY2129,2027-05-24,Auto-generated sample data
Cyclophosphamide,1509,336.0,50mg,Tablet,units,820.0,Shelf D130,BATCHY2130,2028-01-09,Auto-generated sample data
Haloperidol,2081,60.0,5mg,Tablet,units,581.0,Shelf D131,BATCHY2131,2028-12-17,Auto-generated sample data
Olanzapine,3783,133.0,10mg,Tablet,units,1209.0,Shelf D132,BATCHY2132,2026-10-13,Auto-generated sample data
Methotrexate,6017,209.0,2.5mg,Tablet,units,266.0,Shelf D133,BATCHY2133,2026-12-12,Auto-generated sample data
Digoxin,3302,286.0,0.25mg,Tablet,units,404.0,Shelf D134,BATCHY2134,2029-11-26,Auto-generated sample data
Insulin Lispro,3291,438.0,100IU/ml,Injection,units,1408.0,Shelf D135,BATCHY2135,2026-04-22,Auto-generated sample data
Potassium Chloride,5379,454.0,15%,Injection,units,1047.0,Shelf D136,BATCHY2136,2029-02-27,Auto-generated sample data
Erythromycin,6702,92.0,250mg,Tablet,units,1932.0,Shelf D137,BATCHY2137,2027-05-11,Auto-generated sample data
Ribavirin,3167,307.0,200mg,Capsule,units,1758.0,Shelf D138,BATCHY2138,2029-05-04,Auto-generated sample data
Colistin,7870,245.0,1MIU,Injection,units,1257.0,Shelf D139,BATCHY2139,2029-09-07,Auto-generated sample data
Ringer’s Lactate,172,349.0,Standard,IV Fluid,units,464.0,Shelf D140,BATCHY2140,2027-10-03,Auto-generated sample data
Glimepiride,159,489.0,2mg,Tablet,units,1629.0,Shelf D141,BATCHY2141,2026-12-15,Auto-generated sample data
Citalopram,6108,212.0,20mg,Tablet,units,1113.0,Shelf D142,BATCHY2142,2029-12-30,Auto-generated sample data
